STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/6/2012,13.65,",,W",0,",,X,2400",0,",,X",,,,,50,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/7/2012,10.29,",,W",0,",,X,2400",0,",,X",,,,,46,",,X",30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/8/2012,7.61,",,W",0,",,X,2400",0,",,X",,,,,38,",,X",22,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/9/2012,9.4,",,W",0,",,X,2400",0,",,X",,,,,47,",,X",30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/10/2012,11.18,",,W",0,"T,,X,2400",0,",,X",,,,,50,",,X",30,",,X",,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/11/2012,10.74,",,W",0.07,",,X,2400",0,"T,,X",,,,,39,",,X",30,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,1,",,X",1,",,X",,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/12/2012,16.78,",,W",0,",,X,2400",0,",,X",,,,,30,",,X",16,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/13/2012,13.87,",,W",0,"T,,X,2400",0,"T,,X",,,,,41,",,X",17,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/14/2012,5.82,",,W",0,",,X,2400",0,",,X",,,,,44,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/15/2012,2.24,",,W",0,"T,,X,2400",0,",,X",,,,,43,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/16/2012,6.26,",,W",0.04,",,X,2400",0,",,X",,,,,45,",,X",35,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/17/2012,10.51,",,W",0.01,",,X,2400",0,",,X",,,,,53,",,X",38,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/18/2012,13.2,",,W",0,",,X,2400",0,",,X",,,,,47,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/19/2012,8.5,",,W",0,",,X,2400",0,",,X",,,,,46,",,X",31,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/20/2012,11.41,",,W",0,",,X,2400",0,",,X",,,,,41,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/21/2012,9.17,",,W",0,"T,,X,2400",0,",,X",,,,,44,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/22/2012,9.4,",,W",0,",,X,2400",0,",,X",,,,,57,",,X",36,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/23/2012,12.3,",,W",0.05,",,X,2400",0,",,X",,,,,55,",,X",41,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/24/2012,7.61,",,W",0.54,",,X,2400",0,"T,,X",,,,,42,",,X",36,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,X",,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/25/2012,22.82,",,W",0,"T,,X,2400",0,"T,,X",,,,,45,",,X",33,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/26/2012,15.43,",,W",0,",,X,2400",0,",,X",,,,,41,",,X",27,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/27/2012,10.96,",,W",0,",,X,2400",0,",,X",,,,,52,",,X",26,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/28/2012,12.75,",,W",0,",,X,2400",0,",,X",,,,,48,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/29/2012,8.72,",,W",0.29,",,X,2400",0.9,",,X",,,,,36,",,X",31,",,X",1,",,X",,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,X",,,1,",,X"
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/1/2012,22.37,",,W",0.58,",,X,2400",0.4,",,X",,,,,37,",,X",25,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/2/2012,8.5,",,W",0,",,X,2400",0,",,X",,,,,35,",,X",23,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/3/2012,9.62,",,W",0.38,",,X,2400",0.1,",,X",,,,,47,",,X",34,",,X",,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",1,",,X",1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/4/2012,8.05,",,W",0,",,X,2400",0,",,X",,,,,42,",,X",34,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/5/2012,14.09,",,W",0,",,X,2400",0,",,X",,,,,38,",,X",25,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/6/2012,11.63,",,W",0,",,X,2400",0,",,X",,,,,39,",,X",20,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/7/2012,16.33,",,W",0,",,X,2400",0,",,X",,,,,62,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/8/2012,24.16,",,W",0,",,X,2400",0,",,X",,,,,68,",,X",50,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/9/2012,10.96,",,W",0,"T,,X,2400",0,"T,,X",,,,,61,",,X",35,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/10/2012,11.41,",,W",0,"T,,X,2400",0.1,",,X",,,,,40,",,X",31,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,X",,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/11/2012,14.32,",,W",0,",,X,2400",0,",,X",,,,,58,",,X",30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/12/2012,6.93,",,W",0,",,X,2400",0,",,X",,,,,71,",,X",42,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/13/2012,9.62,",,W",0.07,",,X,2400",0,",,X",,,,,71,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/14/2012,10.51,",,W",0,",,X,2400",0,",,X",,,,,57,",,X",40,",,X",1,",,X",,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/15/2012,8.72,",,W",0,"T,,X,2400",0,",,X",,,,,42,",,X",37,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/16/2012,5.37,",,W",0.07,",,X,2400",0,",,X",,,,,46,",,X",37,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/17/2012,4.7,",,W",0,",,X,2400",0,",,X",,,,,49,",,X",40,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/18/2012,10.07,",,W",0,",,X,2400",0,",,X",,,,,74,",,X",41,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/19/2012,8.05,",,W",0,",,X,2400",0,",,X",,,,,74,",,X",45,",,X",,,,,,,,,,,,,1,",,X",,,1,",,X",,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/20/2012,6.04,",,W",0,",,X,2400",0,",,X",,,,,67,",,X",44,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/21/2012,10.74,",,W",0,",,X,2400",0,",,X",,,,,78,",,X",56,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/22/2012,10.07,",,W",0,",,X,2400",0,",,X",,,,,83,",,X",56,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/23/2012,8.28,",,W",0,",,X,2400",0,",,X",,,,,76,",,X",58,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/24/2012,8.5,",,W",0,"T,,X,2400",0,",,X",,,,,59,",,X",47,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/25/2012,6.71,",,W",0.01,",,X,2400",0,",,X",,,,,48,",,X",42,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/26/2012,17,",,W",0,"T,,X,2400",0,",,X",,,,,50,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/27/2012,14.54,",,W",0,",,X,2400",0,",,X",,,,,49,",,X",27,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/28/2012,7.83,",,W",0.06,",,X,2400",0,",,X",,,,,50,",,X",39,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/29/2012,11.41,",,W",0.01,",,X,2400",0,",,X",,,,,46,",,X",40,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/30/2012,11.18,",,W",0,",,X,2400",0,",,X",,,,,51,",,X",36,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/31/2012,6.71,",,W",0.03,",,X,2400",0,",,X",,,,,43,",,X",36,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/1/2012,7.38,",,W",0.19,",,X,2400",0,",,X",,,,,51,",,X",34,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/2/2012,12.75,",,W",0.05,",,X,2400",0,",,X",,,,,53,",,X",39,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/3/2012,12.53,",,W",0,",,X,2400",0,",,X",,,,,59,",,X",36,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/4/2012,11.86,",,W",0,"T,,X,2400",0,",,X",,,,,64,",,X",43,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/5/2012,12.53,",,W",0,",,X,2400",0,",,X",,,,,52,",,X",40,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/6/2012,10.74,",,W",0,",,X,2400",0,",,X",,,,,53,",,X",37,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/7/2012,8.05,",,W",0,",,X,2400",0,",,X",,,,,52,",,X",38,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/8/2012,9.62,",,W",0,"T,,X,2400",0,",,X",,,,,50,",,X",41,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/9/2012,16.55,",,W",0,",,X,2400",0,",,X",,,,,58,",,X",43,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/10/2012,10.51,",,W",0,",,X,2400",0,",,X",,,,,63,",,X",43,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/11/2012,9.4,",,W",0,",,X,2400",0,",,X",,,,,54,",,X",44,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/12/2012,8.95,",,W",0.32,",,X,2400",0,",,X",,,,,56,",,X",43,",,X",1,",,W",,,,,,,,,,,,,,,1,",,X",,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/13/2012,8.05,",,W",0,",,X,2400",0,",,X",,,,,65,",,X",41,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/14/2012,10.07,",,W",0,",,X,2400",0,",,X",,,,,71,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/15/2012,9.84,",,W",0,"T,,X,2400",0,",,X",,,,,77,",,X",54,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/16/2012,9.62,",,W",0,"T,,X,2400",0,",,X",,,,,87,",,X",59,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/17/2012,11.63,",,W",0,",,X,2400",0,",,X",,,,,84,",,X",57,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/18/2012,11.18,",,W",0,",,X,2400",0,",,X",,,,,62,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/19/2012,10.74,",,W",0,",,X,2400",0,",,X",,,,,66,",,X",47,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/20/2012,12.3,",,W",0,",,X,2400",0,",,X",,,,,77,",,X",49,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/21/2012,11.86,",,W",0.01,",,X,2400",0,",,X",,,,,78,",,X",54,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,
